accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.7199731469154358,0.5771635174751282,0.7125587463378906,0.5900139212608337,3.125000148429535e-05,1
0.7216529250144958,0.5804469585418701,0.7125587463378906,0.5878624320030212,3.125000148429535e-05,2
0.7204770445823669,0.5740357041358948,0.7085292339324951,0.5906348824501038,3.125000148429535e-05,3
0.7162774801254272,0.5770350694656372,0.7132303714752197,0.5886175036430359,3.125000148429535e-05,4
0.7246766090393066,0.5759841799736023,0.7105439901351929,0.5895251035690308,3.125000148429535e-05,5
0.7224928736686707,0.5767772197723389,0.713901937007904,0.5876839756965637,3.125000148429535e-05,6
0.7211490273475647,0.5732206702232361,0.7125587463378906,0.5894601345062256,3.125000148429535e-05,7
0.7235007286071777,0.5735712051391602,0.7165883183479309,0.5867053866386414,3.125000148429535e-05,8
0.7270283699035645,0.5725634694099426,0.7186030745506287,0.5863132476806641,3.125000148429535e-05,9
0.7238367199897766,0.5777792930603027,0.7118871808052063,0.5865890383720398,3.125000148429535e-05,10
0.7287082076072693,0.5735130310058594,0.7125587463378906,0.5873866081237793,3.125000148429535e-05,11
0.7208130359649658,0.576053261756897,0.7132303714752197,0.5862743258476257,3.125000148429535e-05,12
0.7174533605575562,0.5779000520706177,0.7118871808052063,0.5871260762214661,3.125000148429535e-05,13
0.7201411128044128,0.5767744779586792,0.7118871808052063,0.5863229036331177,3.125000148429535e-05,14
0.7235007286071777,0.574438214302063,0.7152451276779175,0.5863904356956482,1.5625000742147677e-05,15
0.7231647968292236,0.5717003345489502,0.7132303714752197,0.5863155126571655,1.5625000742147677e-05,16
0.7236687541007996,0.5761770606040955,0.7125587463378906,0.5866889953613281,1.5625000742147677e-05,17
0.719301164150238,0.5777847170829773,0.713901937007904,0.5857043862342834,1.5625000742147677e-05,18
0.7293801307678223,0.5703897476196289,0.713901937007904,0.5867680311203003,1.5625000742147677e-05,19
0.7226608395576477,0.5713374614715576,0.7145735621452332,0.5861708521842957,1.5625000742147677e-05,20
0.7305560111999512,0.5731935501098633,0.7179315090179443,0.5857971906661987,1.5625000742147677e-05,21
0.7271963953971863,0.5703086256980896,0.7165883183479309,0.585465669631958,1.5625000742147677e-05,22
0.7189652323722839,0.574056088924408,0.7165883183479309,0.5846645832061768,1.5625000742147677e-05,23
0.7223249077796936,0.5734195113182068,0.7145735621452332,0.5850844979286194,1.5625000742147677e-05,24
0.7263564467430115,0.5705655217170715,0.7159166932106018,0.5849835872650146,1.5625000742147677e-05,25
0.7218209505081177,0.5733022093772888,0.7152451276779175,0.5850582718849182,1.5625000742147677e-05,26
0.7224928736686707,0.5731736421585083,0.713901937007904,0.585300624370575,1.5625000742147677e-05,27
0.7246766090393066,0.5726567506790161,0.713901937007904,0.5849707722663879,1.5625000742147677e-05,28
0.7224928736686707,0.5732526183128357,0.7152451276779175,0.5854288339614868,7.812500371073838e-06,29
0.7297161221504211,0.5688491463661194,0.7132303714752197,0.5852518677711487,7.812500371073838e-06,30
0.719805121421814,0.5730900168418884,0.7172598838806152,0.5850899815559387,7.812500371073838e-06,31
